GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19151,"Pocahontas, IA",257954,303790,298872,327969,324064,337270,318932,407214,417092,368903,415586,468337,536149,559549,645689,689542,543667,587861,603369,533759,539729
19153,"Polk, IA",24727437,24980734,27099718,29485570,31794895,31098483,34440970,30440541,29920102,30399393,30090215,31818645,30706227,34748138,37892921,38985284,38306411,38892998,39631025,39863720,42342831
19155,"Pottawattamie, IA",3043313,3142918,3329914,3542685,3594952,3769688,3849777,4134917,4191653,3875513,3818837,4025990,4028708,4010623,4047340,4019220,3903757,4077003,3898489,3677816,3861713
19157,"Poweshiek, IA",755187,817103,859935,943772,947351,935393,982756,907295,884425,897794,989190,1022248,987785,1053557,1075542,995713,977657,1034574,1044710,1093160,1199807
19159,"Ringgold, IA",103144,99961,101572,129660,126842,120792,103046,115512,134234,132304,142132,141774,169260,168364,175227,165598,196792,192958,196726,184489,168931
19161,"Sac, IA",332458,346035,327374,407136,401775,387576,419169,447158,434245,480768,472968,465216,521151,541019,550529,543994,552748,565941,572467,529463,558007
19163,"Scott, IA",6930996,7181252,7278947,7671405,8045205,7918983,7996016,7862677,7628595,7834582,8068175,8456258,8325077,8355340,8542814,8349788,8582577,8517398,8743226,8556669,8912158
19165,"Shelby, IA",371544,396369,383879,451017,459014,458592,468035,532240,553941,566468,633797,712171,694083,675773,700204,667907,652171,680241,689603,655375,709068
19167,"Sioux, IA",1353994,1491760,1645334,1684820,1748223,1878346,1746064,1829393,1605411,1793205,1855648,1944960,2012804,2258038,2431084,2442898,2625192,2655889,2561608,2407557,2346052
19169,"Story, IA",3233594,3347832,3507209,3657723,3775272,3894461,3972527,4107672,3961142,4022914,4181933,4366412,4658069,4804967,4859963,4724034,4949037,4968651,5019153,4924101,5158546
19171,"Tama, IA",450258,475973,434092,530570,512556,525493,546989,540032,590358,547704,563266,567224,546940,518292,534210,581332,552626,588303,604547,683420,723193
19173,"Taylor, IA",136290,146220,161780,200675,196689,203610,209742,218202,240633,217493,208999,200030,228897,210647,220121,190972,228394,233301,242638,244249,267552
19175,"Union, IA",408820,429061,430350,493588,496103,499687,492206,514832,518999,555051,553261,550334,560920,564612,550121,511054,543947,573418,587600,636521,693602
19177,"Van Buren, IA",149366,161262,177613,221626,215308,229493,222141,224862,214129,218766,220033,250925,230131,226123,210601,197754,217435,224392,215194,200218,230622
19179,"Wapello, IA",1396823,1395327,1422530,1461859,1400141,1507106,1595301,1697813,1685012,1563645,1446106,1505952,1547383,1476585,1601157,1516640,1500813,1490180,1485681,1450894,1540236
19181,"Warren, IA",684114,721863,753424,814529,830962,831427,853016,886833,896492,888903,934234,994102,999973,1016202,1021004,1068296,1124928,1092889,1133796,1123132,1201462
19183,"Washington, IA",572340,582417,592800,649715,642911,697068,695888,732112,710526,775553,869387,916523,977912,1088227,997721,1009392,1139228,1205186,1258566,1007015,1070132
19185,"Wayne, IA",133298,154394,155450,170528,169114,163207,160608,180723,191449,180254,197176,185046,210107,176689,210285,189965,204597,221809,212492,210611,238365
19187,"Webster, IA",2095257,2104802,2218371,2183381,2047367,2061016,1910941,2128418,2142838,2428116,2568911,2291687,2349714,2153578,2126530,2045814,1957996,1902702,1891067,1816377,1859279
19189,"Winnebago, IA",340145,345887,346534,386029,379603,394457,432175,443459,379705,441644,445946,440390,462042,437572,446624,388219,388456,419824,389169,411441,469840
19191,"Winneshiek, IA",745684,760082,785423,839570,837386,823798,827342,852534,781671,849005,871851,877670,960488,955289,1036074,1012491,939520,957898,961361,983554,1019880
19193,"Woodbury, IA",4555810,4526048,4701607,5089335,5329892,5412403,5637530,5889051,5294078,5165650,4995111,4839541,4791945,4785145,4934231,4934105,4583660,4789898,4673380,4572924,4775286
19195,"Worth, IA",163719,182680,179878,213695,210887,354861,392443,356202,300949,326767,331580,318693,435234,438158,398989,333865,280172,278803,273934,280560,310397
19197,"Wright, IA",501543,536641,539113,598452,589986,603889,643192,664471,605199,629942,736141,751892,740652,859196,839479,682461,674801,773563,668069,635107,734159

" Legend/Footnotes
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
"  Last updated: December 8, 2022 -- new statistics for 2021, revised statistics for 2017-2020."
